Operacia;Cas;;Pocet prvkov
Odstran na zaklade kluca;600;ns;19
Odstran na zaklade kluca;1000;ns;18
Odstran na zaklade kluca;1000;ns;17
Vloz na zaklade kluca;600;ns;16
Vloz na zaklade kluca;700;ns;17
Odstran na zaklade kluca;700;ns;18
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;600;ns;16
Vloz na zaklade kluca;600;ns;17
Odstran na zaklade kluca;600;ns;18
Odstran na zaklade kluca;600;ns;17
Vloz na zaklade kluca;800;ns;16
Odstran na zaklade kluca;800;ns;17
Vloz na zaklade kluca;2200;ns;16
Odstran na zaklade kluca;700;ns;17
Odstran na zaklade kluca;700;ns;16
Vloz na zaklade kluca;600;ns;15
Odstran na zaklade kluca;600;ns;16
Vloz na zaklade kluca;700;ns;15
Odstran na zaklade kluca;600;ns;16
Vloz na zaklade kluca;600;ns;15
Vloz na zaklade kluca;700;ns;16
Vloz na zaklade kluca;600;ns;17
Odstran na zaklade kluca;600;ns;18
Odstran na zaklade kluca;900;ns;17
Spristupni na zaklade kluca;500;ns;16
Odstran na zaklade kluca;600;ns;16
Vloz na zaklade kluca;700;ns;15
Vloz na zaklade kluca;800;ns;16
Vloz na zaklade kluca;700;ns;17
Vloz na zaklade kluca;700;ns;18
Odstran na zaklade kluca;700;ns;19
Odstran na zaklade kluca;1000;ns;18
Odstran na zaklade kluca;700;ns;17
Spristupni na zaklade kluca;400;ns;16
Odstran na zaklade kluca;1000;ns;16
Vloz na zaklade kluca;800;ns;15
Vloz na zaklade kluca;800;ns;16
Odstran na zaklade kluca;1000;ns;17
Odstran na zaklade kluca;900;ns;16
Odstran na zaklade kluca;700;ns;15
Vloz na zaklade kluca;600;ns;14
Vloz na zaklade kluca;700;ns;15
Odstran na zaklade kluca;900;ns;16
Vloz na zaklade kluca;700;ns;15
Vloz na zaklade kluca;2300;ns;16
Vloz na zaklade kluca;800;ns;17
Vloz na zaklade kluca;800;ns;18
Odstran na zaklade kluca;700;ns;19
Vloz na zaklade kluca;800;ns;18
Vloz na zaklade kluca;700;ns;19
Vloz na zaklade kluca;700;ns;20
Vloz na zaklade kluca;700;ns;21
Vloz na zaklade kluca;700;ns;22
Vloz na zaklade kluca;600;ns;23
Vloz na zaklade kluca;600;ns;24
Vloz na zaklade kluca;700;ns;25
Odstran na zaklade kluca;700;ns;26
Odstran na zaklade kluca;700;ns;25
Vloz na zaklade kluca;700;ns;24
Vloz na zaklade kluca;800;ns;25
Odstran na zaklade kluca;800;ns;26
Vloz na zaklade kluca;700;ns;25
Vloz na zaklade kluca;700;ns;26
Odstran na zaklade kluca;600;ns;27
Odstran na zaklade kluca;700;ns;26
Odstran na zaklade kluca;800;ns;25
Odstran na zaklade kluca;600;ns;24
Vloz na zaklade kluca;600;ns;23
Spristupni na zaklade kluca;500;ns;24
Odstran na zaklade kluca;600;ns;24
Vloz na zaklade kluca;600;ns;23
Spristupni na zaklade kluca;500;ns;24
Odstran na zaklade kluca;600;ns;24
Vloz na zaklade kluca;900;ns;23
Vloz na zaklade kluca;600;ns;24
Odstran na zaklade kluca;600;ns;25
Odstran na zaklade kluca;700;ns;24
Odstran na zaklade kluca;800;ns;23
Odstran na zaklade kluca;700;ns;22
Vloz na zaklade kluca;600;ns;21
Odstran na zaklade kluca;700;ns;22
Odstran na zaklade kluca;1000;ns;21
Vloz na zaklade kluca;600;ns;20
Vloz na zaklade kluca;800;ns;21
Vloz na zaklade kluca;700;ns;22
Odstran na zaklade kluca;700;ns;23
Spristupni na zaklade kluca;400;ns;22
Vloz na zaklade kluca;800;ns;22
Vloz na zaklade kluca;700;ns;23
Vloz na zaklade kluca;600;ns;24
Odstran na zaklade kluca;600;ns;25
Odstran na zaklade kluca;800;ns;24
Vloz na zaklade kluca;700;ns;23
Vloz na zaklade kluca;700;ns;24
Odstran na zaklade kluca;1000;ns;25
Vloz na zaklade kluca;800;ns;24
Vloz na zaklade kluca;700;ns;25
Vloz na zaklade kluca;800;ns;26
Odstran na zaklade kluca;1200;ns;27
Vloz na zaklade kluca;600;ns;26
Odstran na zaklade kluca;700;ns;27
Odstran na zaklade kluca;600;ns;26
Odstran na zaklade kluca;600;ns;25
Odstran na zaklade kluca;600;ns;24
Odstran na zaklade kluca;900;ns;23
Vloz na zaklade kluca;700;ns;22
Odstran na zaklade kluca;700;ns;23
Odstran na zaklade kluca;1000;ns;22
Odstran na zaklade kluca;600;ns;21
Spristupni na zaklade kluca;500;ns;20
