Operacia;Cas;;Pocet prvkov
Spristupni na zaklade kluca;864300;ns;101
Vloz na zaklade kluca;858600;ns;101
Spristupni na zaklade kluca;778200;ns;102
Spristupni na zaklade kluca;852700;ns;102
Spristupni na zaklade kluca;882900;ns;102
Spristupni na zaklade kluca;859700;ns;102
Vloz na zaklade kluca;860700;ns;102
Spristupni na zaklade kluca;904800;ns;103
Odstran na zaklade kluca;806300;ns;103
Spristupni na zaklade kluca;1470400;ns;102
Vloz na zaklade kluca;1392400;ns;102
Spristupni na zaklade kluca;1644900;ns;103
Spristupni na zaklade kluca;806900;ns;103
Spristupni na zaklade kluca;1072100;ns;103
Vloz na zaklade kluca;819700;ns;103
Spristupni na zaklade kluca;1096000;ns;104
Vloz na zaklade kluca;794000;ns;104
Spristupni na zaklade kluca;896000;ns;105
Vloz na zaklade kluca;1055700;ns;105
Spristupni na zaklade kluca;803000;ns;106
Vloz na zaklade kluca;1789100;ns;106
Vloz na zaklade kluca;1942400;ns;107
Vloz na zaklade kluca;915000;ns;108
Spristupni na zaklade kluca;908700;ns;109
Spristupni na zaklade kluca;918100;ns;109
Spristupni na zaklade kluca;823700;ns;109
Vloz na zaklade kluca;836400;ns;109
Vloz na zaklade kluca;844800;ns;110
Spristupni na zaklade kluca;839800;ns;111
Spristupni na zaklade kluca;926300;ns;111
Vloz na zaklade kluca;1712300;ns;111
Spristupni na zaklade kluca;1803600;ns;112
Spristupni na zaklade kluca;1688100;ns;112
Vloz na zaklade kluca;1067500;ns;112
Spristupni na zaklade kluca;997600;ns;113
Spristupni na zaklade kluca;959000;ns;113
Spristupni na zaklade kluca;859000;ns;113
Vloz na zaklade kluca;1208200;ns;113
Spristupni na zaklade kluca;865800;ns;114
Spristupni na zaklade kluca;884400;ns;114
Spristupni na zaklade kluca;902100;ns;114
Spristupni na zaklade kluca;1082500;ns;114
Vloz na zaklade kluca;873100;ns;114
Odstran na zaklade kluca;947000;ns;115
Vloz na zaklade kluca;1162700;ns;114
Spristupni na zaklade kluca;932600;ns;115
Spristupni na zaklade kluca;1099700;ns;115
Spristupni na zaklade kluca;895900;ns;115
Spristupni na zaklade kluca;868700;ns;115
Spristupni na zaklade kluca;1062900;ns;115
Spristupni na zaklade kluca;870400;ns;115
Spristupni na zaklade kluca;881200;ns;115
Odstran na zaklade kluca;909400;ns;115
Vloz na zaklade kluca;1242300;ns;114
Spristupni na zaklade kluca;982400;ns;115
Vloz na zaklade kluca;921300;ns;115
Vloz na zaklade kluca;890400;ns;116
Spristupni na zaklade kluca;933300;ns;117
Spristupni na zaklade kluca;920700;ns;117
Spristupni na zaklade kluca;889700;ns;117
Spristupni na zaklade kluca;949900;ns;117
Vloz na zaklade kluca;917200;ns;117
Spristupni na zaklade kluca;891200;ns;118
Vloz na zaklade kluca;990500;ns;118
Spristupni na zaklade kluca;1050900;ns;119
Spristupni na zaklade kluca;965400;ns;119
Spristupni na zaklade kluca;1515600;ns;119
Vloz na zaklade kluca;1212100;ns;119
Spristupni na zaklade kluca;910300;ns;120
Spristupni na zaklade kluca;1289900;ns;120
Vloz na zaklade kluca;960700;ns;120
Spristupni na zaklade kluca;1008100;ns;121
Spristupni na zaklade kluca;996400;ns;121
Vloz na zaklade kluca;1222300;ns;121
Spristupni na zaklade kluca;973600;ns;122
Spristupni na zaklade kluca;1110300;ns;122
Spristupni na zaklade kluca;1510300;ns;122
Odstran na zaklade kluca;1328100;ns;122
Vloz na zaklade kluca;1431000;ns;121
Spristupni na zaklade kluca;1125100;ns;122
Spristupni na zaklade kluca;928600;ns;122
Spristupni na zaklade kluca;990900;ns;122
Vloz na zaklade kluca;1045300;ns;122
Spristupni na zaklade kluca;988900;ns;123
Spristupni na zaklade kluca;969300;ns;123
Vloz na zaklade kluca;1126000;ns;123
Spristupni na zaklade kluca;1053200;ns;124
Odstran na zaklade kluca;1142000;ns;124
Vloz na zaklade kluca;1517500;ns;123
Spristupni na zaklade kluca;1248600;ns;124
Spristupni na zaklade kluca;940900;ns;124
Spristupni na zaklade kluca;1089000;ns;124
Odstran na zaklade kluca;1046300;ns;124
Vloz na zaklade kluca;1566800;ns;123
Spristupni na zaklade kluca;1008200;ns;124
Spristupni na zaklade kluca;1105100;ns;124
Vloz na zaklade kluca;1021700;ns;124
Vloz na zaklade kluca;1625000;ns;125
Spristupni na zaklade kluca;971100;ns;126
Spristupni na zaklade kluca;957800;ns;126
Vloz na zaklade kluca;960000;ns;126
Spristupni na zaklade kluca;963100;ns;127
Spristupni na zaklade kluca;961100;ns;127
Vloz na zaklade kluca;990800;ns;127
Spristupni na zaklade kluca;1019000;ns;128
Vloz na zaklade kluca;1116800;ns;128
Vloz na zaklade kluca;999900;ns;129
Odstran na zaklade kluca;1007600;ns;130
