Operacia;Cas;;Pocet prvkov
Odstran na zaklade kluca;3400;ns;34
Vloz na zaklade kluca;1400;ns;33
Odstran na zaklade kluca;3400;ns;34
Odstran na zaklade kluca;3400;ns;33
Odstran na zaklade kluca;3300;ns;32
Spristupni na zaklade kluca;1100;ns;31
Vloz na zaklade kluca;1400;ns;31
Odstran na zaklade kluca;3200;ns;32
Vloz na zaklade kluca;1300;ns;31
Vloz na zaklade kluca;1300;ns;32
Vloz na zaklade kluca;1400;ns;33
Odstran na zaklade kluca;3400;ns;34
Odstran na zaklade kluca;3200;ns;33
Vloz na zaklade kluca;1400;ns;32
Vloz na zaklade kluca;1300;ns;33
Vloz na zaklade kluca;1400;ns;34
Vloz na zaklade kluca;1300;ns;35
Vloz na zaklade kluca;1400;ns;36
Vloz na zaklade kluca;1300;ns;37
Vloz na zaklade kluca;1400;ns;38
Spristupni na zaklade kluca;1100;ns;39
Vloz na zaklade kluca;1400;ns;39
Vloz na zaklade kluca;1700;ns;40
Odstran na zaklade kluca;3700;ns;41
Odstran na zaklade kluca;3800;ns;40
Spristupni na zaklade kluca;1100;ns;39
Odstran na zaklade kluca;3600;ns;39
Vloz na zaklade kluca;1400;ns;38
Vloz na zaklade kluca;1300;ns;39
Odstran na zaklade kluca;3700;ns;40
Odstran na zaklade kluca;3600;ns;39
Odstran na zaklade kluca;3600;ns;38
Vloz na zaklade kluca;1400;ns;37
Spristupni na zaklade kluca;1100;ns;38
Odstran na zaklade kluca;3800;ns;38
Spristupni na zaklade kluca;1100;ns;37
Vloz na zaklade kluca;1600;ns;37
Odstran na zaklade kluca;3600;ns;38
Spristupni na zaklade kluca;1000;ns;37
Vloz na zaklade kluca;1400;ns;37
Odstran na zaklade kluca;3600;ns;38
Vloz na zaklade kluca;1300;ns;37
Vloz na zaklade kluca;1400;ns;38
Spristupni na zaklade kluca;1100;ns;39
Odstran na zaklade kluca;3600;ns;39
Vloz na zaklade kluca;1400;ns;38
Odstran na zaklade kluca;3600;ns;39
Spristupni na zaklade kluca;1000;ns;38
Spristupni na zaklade kluca;1000;ns;38
Vloz na zaklade kluca;1400;ns;38
Vloz na zaklade kluca;1400;ns;39
Vloz na zaklade kluca;1500;ns;40
Odstran na zaklade kluca;3800;ns;41
Vloz na zaklade kluca;1300;ns;40
Vloz na zaklade kluca;1400;ns;41
Odstran na zaklade kluca;3800;ns;42
Vloz na zaklade kluca;1400;ns;41
Spristupni na zaklade kluca;1100;ns;42
Odstran na zaklade kluca;3700;ns;42
Vloz na zaklade kluca;1300;ns;41
Vloz na zaklade kluca;1300;ns;42
Odstran na zaklade kluca;3900;ns;43
Odstran na zaklade kluca;3800;ns;42
Vloz na zaklade kluca;1400;ns;41
Vloz na zaklade kluca;1400;ns;42
Vloz na zaklade kluca;5800;ns;43
Odstran na zaklade kluca;4200;ns;44
Spristupni na zaklade kluca;1100;ns;43
Spristupni na zaklade kluca;1000;ns;43
Vloz na zaklade kluca;5000;ns;43
Vloz na zaklade kluca;1300;ns;44
Odstran na zaklade kluca;4000;ns;45
Vloz na zaklade kluca;1400;ns;44
Spristupni na zaklade kluca;1100;ns;45
Spristupni na zaklade kluca;1100;ns;45
Odstran na zaklade kluca;4000;ns;45
Vloz na zaklade kluca;1400;ns;44
Odstran na zaklade kluca;4000;ns;45
Odstran na zaklade kluca;4100;ns;44
Vloz na zaklade kluca;4900;ns;43
Odstran na zaklade kluca;4000;ns;44
Vloz na zaklade kluca;4800;ns;43
Vloz na zaklade kluca;1400;ns;44
Vloz na zaklade kluca;1300;ns;45
Odstran na zaklade kluca;4100;ns;46
Spristupni na zaklade kluca;1100;ns;45
Vloz na zaklade kluca;1300;ns;45
Spristupni na zaklade kluca;1100;ns;46
Vloz na zaklade kluca;1300;ns;46
Odstran na zaklade kluca;4100;ns;47
Vloz na zaklade kluca;1300;ns;46
Vloz na zaklade kluca;1400;ns;47
Vloz na zaklade kluca;1400;ns;48
Vloz na zaklade kluca;1300;ns;49
Odstran na zaklade kluca;4200;ns;50
Vloz na zaklade kluca;1300;ns;49
Odstran na zaklade kluca;4200;ns;50
Odstran na zaklade kluca;4200;ns;49
Spristupni na zaklade kluca;1000;ns;48
Vloz na zaklade kluca;1400;ns;48
Spristupni na zaklade kluca;1000;ns;49
Vloz na zaklade kluca;1300;ns;49
Vloz na zaklade kluca;1400;ns;50
Odstran na zaklade kluca;4300;ns;51
Vloz na zaklade kluca;1300;ns;50
Spristupni na zaklade kluca;1000;ns;51
Vloz na zaklade kluca;1300;ns;51
Odstran na zaklade kluca;4300;ns;52
Vloz na zaklade kluca;1300;ns;51
Spristupni na zaklade kluca;1000;ns;52
Spristupni na zaklade kluca;1100;ns;52
Vloz na zaklade kluca;1400;ns;52
Odstran na zaklade kluca;4400;ns;53
Odstran na zaklade kluca;4400;ns;52
Spristupni na zaklade kluca;1100;ns;51
Vloz na zaklade kluca;1400;ns;51
Odstran na zaklade kluca;4400;ns;52
Vloz na zaklade kluca;1400;ns;51
